,"Korea, Rep.",Laos,Uruguay,United States,Germany
1990,14377.88392,2005.500494,14060.84548,44378.52403,42287.65272
1991,15784.46687,2033.582583,14474.73271,43742.02612,44125.14428
1992,16613.4907,2088.020041,15536.48721,44659.15146,44672.69205
1993,17595.90361,2152.276597,15865.27752,45286.93551,43948.14898
1994,19052.29909,2267.782155,16932.02846,46537.35715,44933.29426
1995,20697.89698,2368.054752,16600.03919,47220.95796,45475.68591
1996,22139.79638,2473.772858,17433.69329,48435.7001,45814.85231
1997,23311.04209,2589.207629,18823.94192,49984.26965,46596.18107
1998,22000.33876,2642.566187,19577.78997,51619.86984,47565.45268
1999,24382.25085,2786.520397,19192.71757,53474.04543,48547.00408
2000,26404.15886,2899.019619,18752.05781,55038.6225,49875.87642
2001,27440.65649,3015.632585,17986.90076,55017.30498,50606.71146
2002,29395.2766,3143.223276,16572.78818,55436.11698,50406.38007
2003,30142.46056,3282.985397,16694.43892,56498.20783,50111.57526
2004,31579.5283,3441.169997,17519.37963,58131.63369,50704.92199
2005,32886.04725,3630.558788,18811.3196,59604.75364,51182.95916
2006,34429.6222,3881.537366,19560.08176,60676.56557,53222.04093
2007,36257.34017,4112.253017,20803.89318,61306.59694,54832.96103
2008,37064.15185,4367.16288,22249.38352,60798.43384,55425.11093
2009,37176.19393,4625.071733,23138.08207,58714.97369,52484.85501
2010,39574.05007,4946.105637,24879.83502,59789.41291,54738.7083
2011,40719.22738,5266.878669,26099.32153,60245.4844,57858.42226
2012,41537.67286,5608.969563,26953.28111,61134.53061,58017.58558
2013,42709.97519,5974.473689,28119.48333,61958.72344,58089.17085
2014,43806.9251,6341.212297,28935.09744,63018.80339,59108.69773
2015,44849.10677,6703.741243,28941.62941,64359.47259,59573.70895
2016,46088.24308,7063.255453,29332.56726,65017.65496,60407.97137
2017,47536.78986,7432.459633,29762.43332,66155.55557,61866.48722
2018,48834.44712,7775.085745,29757.93885,67719.76564,62381.34788
2019,49790.86799,8075.275024,30010.57426,69112.60269,62849.37419
2020,49374.09261,7995.595025,27788.1855,67342.07093,60203.28976
2021,51718.25187,8080.435532,29431.88501,71307.40173,62530.76532
2022,53228.60357,8183.032865,30804.70328,72679.25754,63676.08782
2023,54029.3435,8372.155919,31059.25371,74158.71642,63039.37197
2024,55070.93862,8600.324547,32038.77273,75489.26643,62554.55472
,..,,..,..,
